ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed,Subscribed_Binary,Had_First_Call,Education_Encoded,Country_Encoded,Stage_Encoded,Status_Active,Days_Since_First,Days_Since_First_Norm,Days_Since_Last,Days_Since_Last_Norm,Days_Between_Contacts,Days_Between_Norm,Contact_Frequency,Had_Demo,Had_Survey,Had_Signup,Had_Manager,Country_ConvRate,Education_ConvRate,Stages_Completed
7743,China,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,14.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0,0.0,0
7737,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7738,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7739,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7740,USA,B21,2020-03-10,2020-03-10,2nd message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7741,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7742,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7744,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7745,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7746,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7747,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7748,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7749,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7750,USA,B21,2020-03-10,2021-10-12,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,-95,0.0,581,1.0,0.001718213058419244,0,0,0,0,0.0027591643673630273,0.0,0
7751,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7752,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7753,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7754,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7755,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7756,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7757,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7758,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7736,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7759,USA,B21,2020-03-10,2020-03-10,2nd message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7760,USA,B21,2020-03-10,2020-03-10,1st message,,,,,,,,0,0,13.0,76.0,0.0,0,486,1.0,486,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0,0
7730,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7705,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7706,China,,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,30.0,14.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0,0.0024605024605024606,0
7707,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7708,USA,,2020-05-05,2020-05-05,2nd message,not interested,,,,,,,0,0,30.0,76.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0024605024605024606,0
7709,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7710,USA,B27,2020-05-05,2020-05-05,3rd message,not interested,,,,,,,0,0,19.0,76.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7711,China,B27,2020-05-05,2020-05-05,3rd message,not interested,,,,,,,0,0,19.0,14.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0,0.007087628865979381,0
7712,USA,B27,2020-05-05,2020-05-05,2nd message,not interested,,,,,,,0,0,19.0,76.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7713,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7714,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7715,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7716,USA,,2020-05-05,2020-05-05,2nd message,,,,,,,,0,0,30.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.0024605024605024606,0
7729,USA,B11,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,2.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.003260869565217391,0
7717,USA,B27,2020-05-05,2020-05-05,3rd message,interested,2021-04-28,,,2021-04-19,2021-04-30,,0,1,19.0,76.0,3.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,1,1,0.0027591643673630273,0.007087628865979381,3
7719,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7720,USA,B27,2020-05-05,2020-05-05,2nd message,not interested,,,,,,,0,0,19.0,76.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7721,Canada,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,13.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0,0.007087628865979381,0
7722,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7723,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7725,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7726,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7727,USA,B27,2020-05-05,2020-05-05,2nd message,not interested,,,,,,,0,0,19.0,76.0,1.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7734,Canada,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,13.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0,0.007087628865979381,0
7733,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7732,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7728,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7718,USA,B27,2020-05-05,2020-05-05,3rd message,did not join the call,2021-07-27,2021-12-06,,,,,0,1,19.0,76.0,2.0,0,430,1.0,430,1.0,0,0.0,1.0,1,0,0,0,0.0027591643673630273,0.007087628865979381,2
7731,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
7724,USA,B27,2020-05-05,2020-05-05,3rd message,,,,,,,,0,0,19.0,76.0,0.0,0,430,1.0,430,1.0,0,0.0,1.0,0,0,0,0,0.0027591643673630273,0.007087628865979381,0
